Year of Date,Month of Date,State/UnionTerritory,Confirmed,Cured,Deaths,Confirmed Foreign National,Confirmed Indian National,Date,Sno,Time
2021,April,Bihar,266677,262733,1580,,,4/3/2021,13399,12/30/1899 8:00:00 AM
2021,April,Bihar,267513,262988,1582,,,4/4/2021,13435,12/30/1899 8:00:00 AM
2021,April,Bihar,268377,263233,1583,,,4/5/2021,13471,12/30/1899 8:00:00 AM
2020,May,Chandigarh,111,21,1,,,5/6/2020,1644,12/30/1899 8:00:00 AM
2020,May,Chandigarh,120,21,1,,,5/7/2020,1677,12/30/1899 8:00:00 AM
2020,May,Chandigarh,135,21,1,,,5/8/2020,1710,12/30/1899 8:00:00 AM
2020,May,Chandigarh,150,21,1,,,5/9/2020,1743,12/30/1899 8:00:00 AM
2020,May,Chandigarh,169,24,2,,,5/10/2020,1776,12/30/1899 8:00:00 AM
2020,May,Chandigarh,169,24,2,,,5/11/2020,1809,12/30/1899 8:00:00 AM
2020,May,Chandigarh,174,24,2,,,5/12/2020,1842,12/30/1899 8:00:00 AM
2020,May,Chandigarh,187,28,3,,,5/13/2020,1875,12/30/1899 8:00:00 AM
2020,May,Chandigarh,187,28,3,,,5/14/2020,1908,12/30/1899 8:00:00 AM
2020,May,Chandigarh,191,37,3,,,5/15/2020,1941,12/30/1899 8:00:00 AM
2020,May,Chandigarh,191,37,3,,,5/16/2020,1974,12/30/1899 8:00:00 AM
2020,May,Chandigarh,191,51,3,,,5/17/2020,2007,12/30/1899 8:00:00 AM
2020,May,Chandigarh,191,51,3,,,5/18/2020,2040,12/30/1899 8:00:00 AM
2020,May,Chandigarh,196,54,3,,,5/19/2020,2073,12/30/1899 8:00:00 AM
2020,May,Chandigarh,200,57,3,,,5/20/2020,2106,12/30/1899 8:00:00 AM
2020,May,Chandigarh,202,57,3,,,5/21/2020,2140,12/30/1899 8:00:00 AM
2020,May,Chandigarh,217,139,3,,,5/22/2020,2174,12/30/1899 8:00:00 AM
2020,May,Chandigarh,218,178,3,,,5/23/2020,2208,12/30/1899 8:00:00 AM
2020,May,Chandigarh,225,179,3,,,5/24/2020,2242,12/30/1899 8:00:00 AM
2020,May,Chandigarh,238,186,3,,,5/25/2020,2277,12/30/1899 8:00:00 AM
2020,May,Chandigarh,238,186,3,,,5/26/2020,2312,12/30/1899 8:00:00 AM
2020,May,Chandigarh,266,187,4,,,5/27/2020,2348,12/30/1899 8:00:00 AM
2020,May,Chandigarh,279,187,4,,,5/28/2020,2384,12/30/1899 8:00:00 AM
2020,May,Chandigarh,288,189,4,,,5/29/2020,2420,12/30/1899 8:00:00 AM
2020,May,Chandigarh,289,189,4,,,5/30/2020,2456,12/30/1899 8:00:00 AM
2020,May,Chandigarh,289,189,4,,,5/31/2020,2492,12/30/1899 8:00:00 AM
2020,June,Chandigarh,293,199,4,,,6/1/2020,2528,12/30/1899 8:00:00 AM
2020,June,Chandigarh,294,199,4,,,6/2/2020,2564,12/30/1899 8:00:00 AM
2020,June,Chandigarh,301,214,5,,,6/3/2020,2600,12/30/1899 8:00:00 AM
2020,June,Chandigarh,301,214,5,,,6/4/2020,2636,12/30/1899 8:00:00 AM
2020,June,Chandigarh,301,214,5,,,6/5/2020,2672,12/30/1899 8:00:00 AM
2020,June,Chandigarh,304,222,5,,,6/6/2020,2708,12/30/1899 8:00:00 AM
2020,June,Chandigarh,309,273,5,,,6/7/2020,2744,12/30/1899 8:00:00 AM
2020,June,Chandigarh,314,273,5,,,6/8/2020,2780,12/30/1899 8:00:00 AM
2020,June,Chandigarh,317,273,5,,,6/9/2020,2816,12/30/1899 8:00:00 AM
2020,June,Chandigarh,323,286,5,,,6/10/2020,2852,12/30/1899 8:00:00 AM
2020,June,Chandigarh,327,286,5,,,6/11/2020,2888,12/30/1899 8:00:00 AM
2020,June,Chandigarh,332,286,5,,,6/12/2020,2925,12/30/1899 8:00:00 AM
2020,June,Chandigarh,334,286,5,,,6/13/2020,2961,12/30/1899 8:00:00 AM
2020,June,Chandigarh,345,286,5,,,6/14/2020,2997,12/30/1899 8:00:00 AM
2020,June,Chandigarh,352,293,5,,,6/15/2020,3033,12/30/1899 8:00:00 AM
2020,June,Chandigarh,354,296,6,,,6/16/2020,3069,12/30/1899 8:00:00 AM
2020,June,Chandigarh,358,302,6,,,6/17/2020,3105,12/30/1899 8:00:00 AM
2020,June,Chandigarh,368,303,6,,,6/18/2020,3141,12/30/1899 8:00:00 AM
2020,June,Chandigarh,374,306,6,,,6/19/2020,3177,12/30/1899 8:00:00 AM
2020,June,Chandigarh,381,315,6,,,6/20/2020,3213,12/30/1899 8:00:00 AM
2020,June,Chandigarh,404,316,6,,,6/21/2020,3249,12/30/1899 8:00:00 AM
2020,June,Chandigarh,406,316,6,,,6/22/2020,3285,12/30/1899 8:00:00 AM
2020,June,Chandigarh,411,322,6,,,6/23/2020,3321,12/30/1899 8:00:00 AM
2020,June,Chandigarh,418,322,6,,,6/24/2020,3357,12/30/1899 8:00:00 AM
2020,June,Chandigarh,420,323,6,,,6/25/2020,3393,12/30/1899 8:00:00 AM
2020,June,Chandigarh,423,329,6,,,6/26/2020,3429,12/30/1899 8:00:00 AM
2020,June,Chandigarh,425,335,6,,,6/27/2020,3465,12/30/1899 8:00:00 AM
2020,June,Chandigarh,428,335,6,,,6/28/2020,3501,12/30/1899 8:00:00 AM
2020,June,Chandigarh,429,336,6,,,6/29/2020,3537,12/30/1899 8:00:00 AM
2020,June,Chandigarh,435,349,6,,,6/30/2020,3573,12/30/1899 8:00:00 AM
2020,July,Chandigarh,440,364,6,,,7/1/2020,3609,12/30/1899 8:00:00 AM
2020,July,Chandigarh,446,367,6,,,7/2/2020,3645,12/30/1899 8:00:00 AM
2020,July,Chandigarh,450,389,6,,,7/3/2020,3681,12/30/1899 8:00:00 AM
2020,July,Chandigarh,457,393,6,,,7/4/2020,3717,12/30/1899 8:00:00 AM
2020,July,Chandigarh,460,395,6,,,7/5/2020,3753,12/30/1899 8:00:00 AM
2020,July,Chandigarh,466,395,6,,,7/6/2020,3789,12/30/1899 8:00:00 AM
2020,July,Chandigarh,489,401,6,,,7/7/2020,3825,12/30/1899 8:00:00 AM
2020,July,Chandigarh,494,401,7,,,7/8/2020,3861,12/30/1899 8:00:00 AM
2020,July,Chandigarh,513,402,7,,,7/9/2020,3897,12/30/1899 8:00:00 AM
2020,July,Chandigarh,523,403,7,,,7/10/2020,3933,12/30/1899 8:00:00 AM
2020,July,Chandigarh,539,408,7,,,7/11/2020,3969,12/30/1899 8:00:00 AM
2020,July,Chandigarh,555,413,7,,,7/12/2020,4005,12/30/1899 8:00:00 AM
2020,July,Chandigarh,559,417,8,,,7/13/2020,4041,12/30/1899 8:00:00 AM
2020,July,Chandigarh,588,423,8,,,7/14/2020,4077,12/30/1899 8:00:00 AM
2020,July,Chandigarh,600,446,10,,,7/15/2020,4113,12/30/1899 8:00:00 AM
2020,July,Chandigarh,625,459,11,,,7/16/2020,4149,12/30/1899 8:00:00 AM
2020,July,Chandigarh,651,476,11,,,7/17/2020,4185,12/30/1899 8:00:00 AM
2020,July,Chandigarh,660,480,11,,,7/18/2020,4221,12/30/1899 8:00:00 AM
2020,July,Chandigarh,700,485,12,,,7/19/2020,4257,12/30/1899 8:00:00 AM
2020,July,Chandigarh,717,488,12,,,7/20/2020,4292,12/30/1899 8:00:00 AM
2020,July,Chandigarh,737,518,12,,,7/21/2020,4327,12/30/1899 8:00:00 AM
2020,July,Chandigarh,751,518,12,,,7/22/2020,4362,12/30/1899 8:00:00 AM
2020,July,Chandigarh,793,526,13,,,7/23/2020,4397,12/30/1899 8:00:00 AM
2020,July,Chandigarh,800,531,13,,,7/24/2020,4432,12/30/1899 8:00:00 AM
2020,July,Chandigarh,823,535,13,,,7/25/2020,4467,12/30/1899 8:00:00 AM
2020,July,Chandigarh,852,555,13,,,7/26/2020,4502,12/30/1899 8:00:00 AM
2020,July,Chandigarh,887,572,13,,,7/27/2020,4537,12/30/1899 8:00:00 AM
2020,July,Chandigarh,910,575,14,,,7/28/2020,4572,12/30/1899 8:00:00 AM
2020,July,Chandigarh,934,599,14,,,7/29/2020,4607,12/30/1899 8:00:00 AM
2020,July,Chandigarh,978,611,14,,,7/30/2020,4642,12/30/1899 8:00:00 AM
2020,July,Chandigarh,1016,647,14,,,7/31/2020,4677,12/30/1899 8:00:00 AM
2020,August,Chandigarh,1051,667,15,,,8/1/2020,4712,12/30/1899 8:00:00 AM
